38	60774.5 63568.4 27330.5 30982 20497.9 15076.1 97731.6 114578 24757.9 109516 20525.6 63513.1 209073 58395.5 114440 87468.8 
39	54470.1 65177.2 52117.1 40378.9 44494.3 47243.8 47631.6 34351.1 46820.8 53659.3 42775.9 39250.9 40960.5 48318.9 73399.3 55712.6 
40	7146.3 8618.2 6428.8 7822.8 5211.1 5621.1 15256.1 19762 7047.9 16305.7 5658 11939.2 32644.2 9417.7 13583.3 12308.2 
41	38011.6 70728.1 39587.6 15801.4 16494.8 27925.6 49862.7 62659.3 26917 61965.9 10086 22567.4 133135 23134.8 81255.3 47404.2 
42	39723.3 52917.9 32225.5 13627.4 20427.1 24504.2 41119.6 40854.3 22884.5 50669.9 16196.5 20636.6 91957 31401.7 69686.8 47528.3 
43	16111.6 20714.4 15620 11041.2 12598.4 13719.1 12502.2 7885.62 13320.3 14853.4 11550 10071.9 13193.1 13052.2 23103.4 15654.4 
44	16981.2 32575 23312.5 16250 16268.8 19856.2 9331.25 20750 19556.2 9543.75 14550 13087.5 32087.5 12481.2 27518.8 12525 
45	168663 210766 169252 131939 144629 153761 134768 109305 150511 149279 136085 124880 89976.1 142500 224408 160512 
46	57109.9 66703 53124.2 40919.7 45381.9 48057.3 52583.6 39050.6 46994.5 58814.1 42605.6 40553.2 45922.4 49175.1 75966.3 61003.9 
47	15576.1 18481.5 14369 10672.6 12024.1 12834.4 14205.2 10134.3 12512.5 16103.3 11183.2 10561.6 14940.6 13172.9 21287 16755.5 
48	2542.49 3928.57 3020.85 2205 2361.19 2682.14 1756.04 1983.28 2611.09 2073.31 2174.38 1857.1 2006.55 2064.74 3788.31 2318.93 
49	34056.3 34221 24448.8 31329.6 21905.1 20807.1 69009.3 86632.2 27212.1 74352.9 23899.8 51935.4 147937 42986.7 64873.5 56510.4 
50	7095.68 11999.1 7886.55 4190.25 4847.93 6351.98 4903.43 6421.35 6030.07 6801.52 4001.55 2614.05 14979.5 4503.82 12617.9 7448.1 
;


